ID,Título,Criado em,Fase,Etiquetas,Tipo de requisição,Solicitante,Veículo,Tipo Veicular,Litros Usados,Veiculos,Hodometro,Autorizado Por,Valor (R$),Nº DA NOTA,FORNECEDOR,VALOR DA NOTA,O que está sendo aguardado ou o que estava ?,Categoria
1309681584,"MANUTENÇÃO DOUGRAS EPX5402 - PNEUS, ALINHAMENTO E BALANCEAMENTO",05/03/2026,Aguardando- NF ou Aprovar,Comercial,Veicular,,,Manutenção,,EPX5402,179.628,,,,,,,
1309245964,TROCA DE PNEU DIANTEIRO TT75F,04/03/2026,Custo-Cobrado Cliente,Cobrado do Cliente,Serviço de Terceiro,,,,,,,,,,,,,
1309223905,PRENSA DE MANGUEIRA E PARAFUSOS,04/03/2026,Custo-Cobrado Cliente,Cobrado do Cliente,Serviço de Terceiro,,,,,,,,,,,,,
1309211638,ABASTECIMENTO DOUGRAS EPX5402,04/03/2026,Despesa- Concluida,Comercial,Veicular,,,Abastecimento,,EPX5402,179.000,,,,,,,
1309208871,ABASTECIMENTO DOUGLAS EPX5402,04/03/2026,Despesa- Concluida,Comercial,Veicular,,,Abastecimento,,EPX5402,178.600,,,,,,,
1308515239,ABASTECIMENTO PEDRO PESSOAL,03/03/2026,Aguardando- NF ou Aprovar,Consumo Oficina,Veicular,,,Abastecimento,,,0,,,,,,,
1308471394,5 Litros de Gasolina (Pessoal Fernandinho),03/03/2026,Despesa- Concluida,Consumo Oficina,Serviço de Terceiro,,,,,,,,,,,,,
1308356807,ALMOÇO SILVANA ,03/03/2026,Despesa- Concluida,Consumo Oficina,Alimentação,,,,,,,,,,,,,
1308353414,ALMOÇO SILVANA PEDRO,03/03/2026,Despesa- Concluida,Consumo Oficina,Alimentação,,,,,,,,,,,,,
1308348842,ALMOÇO SILVANA,03/03/2026,Despesa- Concluida,Consumo Oficina,Alimentação,,,,,,,,,,,,,
1308337919,MANUTENÇÃO DLZ1967 COXIM,03/03/2026,Despesa- Concluida,Consumo Oficina,Veicular,,,Manutenção,,DLZ1967,190.452,,,,,,,
1308301188,PARAFUSO SAVEIRO CÂMBIO,03/03/2026,Despesa- Concluida,Consumo Oficina,Veicular,,,Manutenção,,DLZ1967,191.100,,,,,,,
1308123547,Almoço Silvana,03/03/2026,Aguardando- NF ou Aprovar,Consumo Oficina,Alimentação,,,,,,,,,,,,,
1307931486,Folha de Serra- Para uso geral da Oficina,03/03/2026,Aguardando- NF ou Aprovar,Consumo Oficina,Ferramenta,,,,,,,,,,,,,
1307389368,4 PNEUS PARA VOYAGE,02/03/2026,Aguardando- NF ou Aprovar,Comercial,Veicular,,,Manutenção,,SEB9J47,0,,,,,,,
1307325700,GASOLINA QUADRICICLO,02/03/2026,Despesa- Concluida,Comercial,Serviço de Terceiro,,,,,,,,,,,,,
1307305965,MANUTENÇÃO CAMINHÃO EVG,02/03/2026,Despesa- Concluida,Comercial,Veicular,,,Manutenção,,EVG1E67,0,,,,,,,
1307227580,MATERIAL PARA PINTURA FACHADA LOJA,02/03/2026,Despesa- Concluida,Comercial,Ferramenta,,,,,,,,,,,,,
1307193275,MANUTENÇÃO CAMBIO DLZ1967,02/03/2026,Despesa- Concluida,Consumo Oficina,Veicular,,,Manutenção,,DLZ1967,190.452,,,,,,,
1306929555,ABASTECIMENTO POLO,02/03/2026,Despesa- Concluida,Comercial,Veicular,,,Abastecimento,,,0,,,,,,,
1306076208,Gasolina Nicolas,28/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,Veicular,,,Abastecimento,,,0,,,,,,,
1306038230,"1L DE PRETO CADILAC PU, FUNDO PU E CAIXA DE SPRAY SEMI BRILHO",28/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,Ferramenta,,,,,,,,,,,,,
1305558876,MANUTENÇÃO S10 DIRETOR,27/02/2026,Despesa- Concluida,Comercial,Veicular,,,Manutenção,,GIH0I50,167.416,,,,,,,
1305420070,REPARO PNEU EPX-5475,27/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,Veicular,,,Manutenção,,EPX5475,0,,,,,,,
1305191728,ÓLEO 80W90 CARRO ZECA,27/02/2026,Veiculos- Add no Rota Exata,Consumo Oficina,Veicular,,,Manutenção,,DLZ1967,190.356,,,,,,,
1304830543,CONSERTO PNEU AQJ3H59,26/02/2026,Despesa- Concluida,Comercial,Serviço de Terceiro,,,,,,,,,,,,,
1304788559,Abastecimento para o Dougras,26/02/2026,Despesa- Concluida,Comercial,Veicular,,,Abastecimento,,,0,,,,,,,
1304785443,2 Parafuso guia para o cambio-DLZ1967,26/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,Veicular,,,Manutenção,,DLZ1967,0,,,,,,,
1304731467,KIT EMBREAGEM DLZ1967,26/02/2026,Despesa- Concluida,Consumo Oficina,Veicular,,,Manutenção,,DLZ1967,190.356,,,,,,,
