ID,Título,Criado em,Fase Atual,Etiquetas,Placa do Carro-Template,Litros Usados,Tipo Combustivel,Cliente,Ordem de Serviço,Fornecedor Final,Número Nota,Valor da Nota Fiscal,Recibo/Nota fiscal Fornecedor,Valor cobrado do cliente,Id requisição,Forncedor Final,Valor da Requisição,Número Nota Fiscal,Recibo/Nota Fiscal do Fornecedor,UTILIZADO PARA MANUTENÇÃO DE ALGO DA OFICINA,Observação (Opcional),SOLICITANTE,RESPONSÁVEL PELO CARRO,Veiculos,Hodometro,VALOR DA NOTA,Nº DA NOTA,FORNECEDOR,AUTORIZADO POR,Tipo de requisição,Tipo Veicular,Categoria
1068915968,COMPRA DE CHAVE DE IMPACTO ELÉTRICA ,29/01/2025,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,,,,,,,,,,,,,,,Ferramenta,,
1178686524,Refeicao Reuniao Comercial - FEAP 2025,18/07/2025,Aguardando- NF ou Aprovar,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,Alimentação,,
1255627617,TROCA DE FAROL QUEIMADO GOL,17/11/2025,Aguardando- NF ou Aprovar,Comercial,,,,,,,,,,,,,,,,,,,,EPX5406,12093,,,,,Veicular,Manutenção,
1257045018,ABASTECIMENTO ATJ6211,19/11/2025,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,,,,,,,,,ATJ6211,350959,,,,,Veicular,Abastecimento,
1258203330,ABASTECIMENTO TKY6E68,22/11/2025,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,"241,42",,,,,,,,,,,,TKY6E68,24.930,,,,,Veicular,Abastecimento,
1261778112,ABASTECIMENTO TKY6E68 PAULO,01/12/2025,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,,,,,,,,,TKY6E68,25888,,,,,Veicular,Abastecimento,
1261911501,ABASTECIMENTO LUIZ FERNANDO,01/12/2025,Aguardando- NF ou Aprovar,Comercial,,,,,,,,,,,,,,,,,,,,AQJ3H59,424661,,,,,Veicular,Abastecimento,
1268349221,"Ar deslgando sozinho, Trator Maria Beatriz Costa Curta",15/12/2025,Aguardando- NF ou Aprovar,Cobrado do Cliente,,,,Maria Beatriz Navarro Ribeiro Costacurta,4.376,Jeferson Climatização,22,300,https://app.pipefy.com/storage/v1/signed/uploads/e8ed2dac-60c5-4871-a000-6562ba4b883d/NFMARIABEATRIZJEFERSON.pdf?expires_on=1772801592&signature=CNf4D%2BU4jJjXSIRLDiYsZmGRC305GEwk6OTH5fbnj5g%3D,0,1268349221,,,,,,Solicitando Garantia desse valor. Aguardando resposta da Fábrica,,,,,,,,,Serviço de Terceiro,,
1269055817,"FITA DUPLA FACE, ABRAÇADEIRA, ETC",16/12/2025,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,1269055817,Outros...,"163,43",23988,https://app.pipefy.com/storage/v1/signed/uploads/9ab2dbe0-8b5d-4401-826e-08fe58620c5e/ImagemdoWhatsAppde2025-12-16s13.53.05_a6860e2c.jpg?expires_on=1772801592&signature=Hu056mTlo7Jh2BWCFddwohKkSVOSreEgSyr%2FxwBZmsY%3D,,,,,,,,,,,Ferramenta,,
1269499168, Anel Oring NB& 70 2157 e Anel Oring NB& 70 2156,17/12/2025,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,Landico,"9,79",5551,https://app.pipefy.com/storage/v1/signed/uploads/0daaeaa2-5d06-465f-9884-1286ca8ecee7/AnelOringZeca.tif?expires_on=1772801592&signature=HXy26GJrb6vF0CejJFF129fzD3eS0DgxLfIor3RORM4%3D,,"Técnico nçao pediu requisição para esse serviço.
Criada pelo Pós Vendas.",,,,,,,,,Peça,,
1269869487,Arrumar Banco da Saveiro do Zeca,18/12/2025,Aguardando- NF ou Aprovar,Consumo Oficina,DLZ1967,,,,,,,,,,1269869487,,,,,,,,,DLZ1967,0,,,,,Veicular,Manutenção,
1271450386,ABASTECIMENTO AQJ,22/12/2025,Aguardando- NF ou Aprovar,Comercial,AQJ3H59,,,,,,,,,,,,,,,,,,,AQJ3H59,428454,,,,,Veicular,Abastecimento,
1276210859,Prensar Mangueira para Carlos Fernando Basile,05/01/2026,Aguardando- NF ou Aprovar,Cobrado do Cliente,,,,,,,,,,,,,,,,,,,,,,,,,,Serviço de Terceiro,,
1282994568,ABASTECIMENTO FHY8D25,16/01/2026,Aguardando- NF ou Aprovar,Consumo Oficina,FHY8D25,,,,,,,,,,,,,,,,,,,FHY8D25,0,,,,,Veicular,Abastecimento,
1282994169,ABASTECIMENTO TKY6E68,16/01/2026,Aguardando- NF ou Aprovar,Consumo Oficina,TKY6E68,,,,,,,,,,1282994169,,,,,,,,,TKY6E68,0,,,,,Veicular,Abastecimento,
1293172731,Troca de Pneus Montana,04/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,FHY8D25,,,,,,,,,,,,,,,,,,,FHY8D25,0,,,,,Veicular,Manutenção,
1293174341,Troca de Pneus da Strada,04/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,FXM4G90,,,,,,,,,,,,,,,,,,,FXM4G90,250.00,,,,,Veicular,Manutenção,
1296837965,MANUTENÇÃO AR CONDICIONADO MARIA BEATRIZ,12/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,,,,MARIA BEATRIZ,4.376,Jeferson Climatização,37,300,https://app.pipefy.com/storage/v1/signed/uploads/3b347666-8f19-46fc-815d-1ec51c0a7af5/35512072261849573000189000000000003726020750065832.pdf?expires_on=1772801592&signature=cc5sgnh5lF4374GxvVUc4ZNOlU0Xx7Np2rVwtGla0yI%3D,300,1296837965,,,,,,FÁBRICA PAGARÁ SERVIÇO,,,,,,,,,Serviço de Terceiro,,
1296848782,Parafusos no Koba para o 5050 da loja,12/02/2026,Aguardando- NF ou Aprovar,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,Peça,,
1296905570,Pilha 3A para teclado Pós Vendas,12/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,,,,,,,,,,,,,,,Material Escritorio,,
1297338995,4 Parafusos e Porca para fixar o Conjunto Frontal (Dona Flora-PPO 79),13/02/2026,Aguardando- NF ou Aprovar,Cobrado do Cliente,,,,,,,,,,,,,,,,,,,,,,,,,,Peça,,
1297399320,TROCA DO PISTÃO PULVERIZADOR ECO RANGER 2000 CLIENTE AFONSO,13/02/2026,Aguardando- NF ou Aprovar,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,Peça,,
1297887073,PROBLEMA RODA BICICLETA,14/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,1297887073,,,,,,,,,,,,,,,Serviço de Terceiro,,
1297895528,Verniz para Vectra (do Paulo),14/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,,,,,,,,,,,,,,,Peça,,
1298263552,ALMOÇO SILVANA PEDRO,16/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,,,,,,,,,,,,,,,Alimentação,,
1298309546,Desbastar a campana da Montana- Processo de Passe ,16/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,FHY8D25,,,,,,,,,,,,,,,,,,,FHY8D25,240.000,,,,,Veicular,Manutenção,
1300751301,ABASTECIMENTO CARRO,21/02/2026,Aguardando- NF ou Aprovar,Comercial,,,,,,,,,,,,,,,,,,,,,0,,,,,Veicular,Abastecimento,
1300780681,CERA PARA CARROS,21/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,,,,,,,,,,0,,,,,Veicular,Manutenção,
1301262185,Parafuso oco 14 MM (Teste Bomba Injetora),23/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,,,,,,,,,,,,,,,Peça,,
1301292371,Abastecimento Saveiro Paulo- (Cartão deu erro),23/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,TKY6E68,,,,,,,,,,,,,,,,,,,TKY6E68,34969,,,,,Veicular,Abastecimento,
1301297078,2L Oleo Motor para a Strada Nicolas,23/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,FXM4G90,,,,,,,,,,,,,,,,,,,FXM4G90,0,,,,,Veicular,Manutenção,
1301922584,ABASTECIMENTO MOTO PEDRO (IRMÃO DO PAULO),23/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,,,,,,,,,,0,,,,,Veicular,Abastecimento,
1302408518,Óleo para o Câmbio do Nicolas,24/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,FXM4G90,,,,,,,,,,,,,,,,,,,FXM4G90,0,,,,,Veicular,Manutenção,
1302669059,ALMOÇO SILVANA PEDRO ,24/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,,,,,,,,,,,,,,,,,,,,,,,,,,Alimentação,,
1303997635,4 METROS DE MAGUEIRA E 10 ABRAÇADEIRAS PARA ANA SILLA (RETROESCAVADEIRA),25/02/2026,Aguardando- NF ou Aprovar,Cobrado do Cliente,,,,,,,,,,,,,,,,,,,,,,,,,,Peça,,
1304785443,2 Parafuso guia para o cambio-DLZ1967,26/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,DLZ1967,,,,,,,,,,,,,,,,,,,DLZ1967,0,,,,,Veicular,Manutenção,
1305420070,REPARO PNEU EPX-5475,27/02/2026,Aguardando- NF ou Aprovar,Consumo Oficina,EPX5475,,,,,,,,,,,,,,,,,,,EPX5475,0,,,,,Veicular,Manutenção,
